Reference, Value, Footprint, Datasheet
"U1","SL2.1A","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm",""
"J1","USB_B_Mini","Connectors:USB_Mini-B","~"
"JP1","SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~"
"J3","USB_A","Connectors:USB_A"," ~"
"J2","Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","~"
"J4","USB_A","Connectors:USB_A"," ~"
"J5","USB_A","Connectors:USB_A"," ~"
"J6","USB_A","Connectors:USB_A"," ~"
"Y1","12MHz","Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm_HandSoldering","~"
"C1","12pF","Capacitors_SMD:C_0603_HandSoldering","~"
"C5","12pF","Capacitors_SMD:C_0603_HandSoldering","~"
"C2","10uF","Capacitors_SMD:C_0603_HandSoldering","~"
"C4","10uF","Capacitors_SMD:C_0603_HandSoldering","~"
"C3","10uF","Capacitors_SMD:C_0603_HandSoldering","~"
"C6","100uF","Capacitors_SMD:CP_Elec_6.3x5.3","~"
"C7","100uF","Capacitors_SMD:CP_Elec_6.3x5.3","~"
"C8","100uF","Capacitors_SMD:CP_Elec_6.3x5.3","~"
"C9","100uF","Capacitors_SMD:CP_Elec_6.3x5.3","~"
